model,threshold,rows,positive_rate,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,alerts
temporal_cnn,0.9696123003959656,236895,0.010308364465269422,0.4245134139926355,0.33046683046683045,0.37163251208841813,0.9063039455740766,0.33128584213524803,807,1094,233359,1635,1901
rf_full,0.5,237490,0.010282538212135248,0.08399081194447218,0.6887796887796888,0.1497240519850454,0.9172496517762166,0.2297908985349293,1682,18344,216704,760,20026
rf_filtered,0.8,236895,0.010308364465269422,0.2777777777777778,0.2620802620802621,0.269700800674252,0.9185220238693643,0.21393763810536293,640,1664,232789,1802,2304
